highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
TCP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,0,2,2019-01-19 15:41:02.546290,1547892662546,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,0,18,2019-01-19 15:41:02.547480,1547892662547,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,0,16,2019-01-19 15:41:02.547566,1547892662547,Unknown,
HTTP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,1,24,2019-01-19 15:41:02.547680,1547892662547,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,0,16,2019-01-19 15:41:02.549076,1547892662549,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,11,16,2019-01-19 15:41:02.550232,1547892662550,Unknown,
XML,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,9,24,2019-01-19 15:41:02.550593,1547892662550,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,0,16,2019-01-19 15:41:02.550636,1547892662550,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,0,17,2019-01-19 15:41:02.550691,1547892662550,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,0,17,2019-01-19 15:41:02.550870,1547892662550,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19552,48025,16384,0,16,2019-01-19 15:41:02.550920,1547892662550,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19552,16384,0,16,2019-01-19 15:41:02.552156,1547892662552,Unknown,
SSL,TCP,192.168.1.35,172.217.167.161,19534,443,16384,0,24,2019-01-19 15:41:04.321227,1547892664321,Unknown,
SSL,TCP,192.168.1.35,172.217.167.161,19534,443,16384,0,24,2019-01-19 15:41:04.322058,1547892664322,Unknown,
TCP,TCP,192.168.1.35,172.217.167.161,19534,443,16384,0,17,2019-01-19 15:41:04.322205,1547892664322,Unknown,
TCP,TCP,172.217.167.161,192.168.1.35,443,19534,0,0,16,2019-01-19 15:41:04.404776,1547892664404,Unknown,
TCP,TCP,172.217.167.161,192.168.1.35,443,19534,0,0,17,2019-01-19 15:41:04.407218,1547892664407,Unknown,
TCP,TCP,192.168.1.35,172.217.167.161,19534,443,16384,0,16,2019-01-19 15:41:04.407357,1547892664407,Unknown,
TCP,TCP,172.217.167.161,192.168.1.35,443,19534,0,0,16,2019-01-19 15:41:04.407454,1547892664407,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:05.536980,1547892665536,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:05.538674,1547892665538,Unknown,
ICMPV6,NONE,fe80::1,ff02::1,-1,-1,-1,0,-1,2019-01-19 15:41:05.641241,1547892665641,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:08.537755,1547892668537,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:08.539322,1547892668539,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19460,443,16384,0,24,2019-01-19 15:41:10.323860,1547892670323,Unknown,
SSL,TCP,192.168.1.35,216.58.196.78,19460,443,16384,0,24,2019-01-19 15:41:10.324783,1547892670324,Unknown,
TCP,TCP,192.168.1.35,216.58.196.78,19460,443,16384,0,17,2019-01-19 15:41:10.324924,1547892670324,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19460,0,0,16,2019-01-19 15:41:10.413007,1547892670413,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19460,0,0,17,2019-01-19 15:41:10.413387,1547892670413,Unknown,
TCP,TCP,192.168.1.35,216.58.196.78,19460,443,16384,0,16,2019-01-19 15:41:10.413546,1547892670413,Unknown,
TCP,TCP,216.58.196.78,192.168.1.35,443,19460,0,0,16,2019-01-19 15:41:10.414946,1547892670414,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:12.554281,1547892672554,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:12.555861,1547892672555,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,0,2,2019-01-19 15:41:12.560395,1547892672560,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19553,16384,0,18,2019-01-19 15:41:12.561723,1547892672561,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19553,48025,16384,0,16,2019-01-19 15:41:12.561930,1547892672561,Unknown,
